original,corrected,physiologic state,sediment origin,prey parts,life history stage,reference,notes,,
 Kimbergonuphis sp. C? 	,	 Kinbergonuphis 	,		,		,		,		,	Simons 1997	,	sp. C	,
 Lironeca tenuistylis 	,	 Livoneca tenuistylis 	,		,		,		,		,	McMichael	,		,
 Lumbrinereis tenuis 	,	 Lumbrineris tenuis 	,		,		,		,		,	Rogers 1977	,	accorsing to ITIS; is Scoletoma tenuis in WoRMS	,
 Lysianassidae Genus A 	,	 Lysianassidae 	,		,		,		,		,	Simons 1997	,	Genus A	,
 Lysianassidae Genus B 	,	 Lysianassidae 	,		,		,		,		,	Simons 1997	,	Genus B	,
 Mediomastis californiensis 	,	 Mediomastus californiensis 	,		,		,		,		,	Rogers 1977	,		,
 Menippe adina claw 	,	 Menippe adina 	,		,		,	claw	,		,	Wrast 2008	,		,
 teleosts/molluscs/crustaceans 	,	 Mollusca 	,		,		,		,		,	Barnes 2008	,		,
 Natacidae 	,	 Naticidae 	,		,		,		,		,	Simons 1997	,		,
 Odonate 	,	 Odonata 	,		,		,		,		,	Akin et al 2006	,		,
 Digestate 	,	 Organic matter 	,	digestate	,		,		,		,	Wrast 2008	,		,
 Pleustidae Genus A 	,	 Pleustidae 	,		,		,		,		,	Simons 1997	,	Genus A	,
 Polycheate 	,	 Polycheata 	,		,		,		,		,	Wrast 2008	,		,
 Polycheate tube 	,	 Polycheata 	,		,		,	tube	,		,	Wrast 2008	,		,
 Polycheate worm 	,	 Polycheata 	,		,		,		,		,	Akin et al 2006	,		,
 Porcellana sigsbieana 	,	 Porcellana sigsbeiana 	,		,		,		,		,	Simons 1997	,		,
 Porcellana sigsbieana (juv) 	,	 Porcellana sigsbeiana 	,		,		,		,	juvenile	,	Simons 1997	,		,
 Porcellana sigsbieana? (juv) 	,	 Porcellana 	,		,		,		,	juvenile	,	Simons 1997	,		,
 Rudilemboides nageli 	,	 Rudilemboides naglei 	,		,		,		,		,	Simons 1997	,		,
 Sand calcareous 	,	 Sand 	,		,	calcareous	,		,		,	McMichael	,		,
 Sand siliceous 	,	 Sand 	,		,	siliceous	,		,		,	McMichael	,		,
 Sargassum natans air bladder 	,	 Sargassum natans 	,		,		,	air bladder	,		,	Wrast 2008	,		,
 Scomber scrombus 	,	 Scomber scombrus 	,		,		,		,		,	Barnes 2008	,		,
 Scicyonia typica 	,	 Sicyonia typica 	,		,		,		,		,	Torruco and Gonzalez 1994	,		,
 Solanocera atlantidis 	,	 Solenocera atlantidis 	,		,		,		,		,	Torruco and Gonzalez 1994	,		,
 Mantish shrimp sp. 	,	 Stomatopoda 	,		,		,		,		,	Baremore 2010	,	common name is mantis shrimp	,
 Synalphaeus sp. 	,	 Synalpheus 	,		,		,		,		,	Simons 1997	,		,
 Synopiidae Genus A 	,	 Synopiidae 	,		,		,		,		,	Simons 1997	,	Genus A	,
 teleosts/molluscs/crustaceans 	,	 Teleostei 	,		,		,		,		,	Barnes 2008	,		,
 Tethygaster sp. 	,	 Tethyaster 	,		,		,		,		,	Torruco and Gonzalez 1994	,		,
 squid unidentified 	,	 Teuthida 	,		,		,		,		,	Barnes 2008	,		,
 Squid beak 	,	 Teuthida 	,		,		,	beak	,		,	Wrast 2008	,		,
 unidentified squid 	,	 Teuthida 	,		,		,		,		,	Barnes 2008	,		,
 Trichuirus lepturus 	,	 Trichiurus lepturus 	,		,		,		,		,	Padilla Mancera 2005	,		,



