"Region","Season","Habitat","Site","Family","Predator Species","TL","Prey Item Species","Prey item","Number","Condition Index","Volume","Percent Content","Prey Item Trophic Level","Notes"
"Lower","Summer","Reef",2,"Clupeidae","Brevoortia patronus",162,"Detritus","Detritus",1,"IV",0.01,100,1,
"Lower","Summer","Reef",2,"Clupeidae","Brevoortia patronus",162,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Summer","Reef",2,"Clupeidae","Brevoortia patronus",162,"Detritus","Detritus",1,"IV",0.01,100,1,
"Lower","Summer","Reef",2,"Clupeidae","Brevoortia patronus",173,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Winter","Non-Veg ",1,"Clupeidae","Brevoortia patronus",180,"Detritus","Detritus",1,"IV",0.005,100,1,
"Lower","Winter","Reef",2,"Clupeidae","Brevoortia patronus",178,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Fall","Non-Veg ",1,"Clupeidae","Brevoortia patronus",155,"Detritus","Detritus",1,"IV",0.03,100,1,
"Upper","Fall","Non-Veg ",1,"Clupeidae","Brevoortia patronus",157,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Fall","Non-Veg ",1,"Clupeidae","Brevoortia patronus",160,"Detritus","Detritus",1,"IV",0.03,100,1,
"Upper","Fall","Non-Veg ",1,"Clupeidae","Brevoortia patronus",162,"Detritus","Detritus",1,"IV",0.03,100,1,
"Upper","Fall","Non-Veg ",1,"Clupeidae","Brevoortia patronus",164,"Detritus","Detritus",1,"IV",0.03,100,1,
"Upper","Fall","Reef",1,"Clupeidae","Brevoortia patronus",161,"Detritus","Detritus",1,"IV",0.008,100,1,
"Upper","Fall","Reef",1,"Clupeidae","Brevoortia patronus",172,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Fall","Reef",1,"Clupeidae","Brevoortia patronus",174,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Fall","Reef",1,"Clupeidae","Brevoortia patronus",183,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Fall","Reef",1,"Clupeidae","Brevoortia patronus",322,"Detritus","Detritus",1,"IV",0.04,100,1,
"Upper","Fall","Reef",2,"Clupeidae","Brevoortia patronus",160,"Detritus","Detritus",1,"IV",0.008,100,1,
"Upper","Spring","Marsh",1,"Clupeidae","Brevoortia patronus",160,"Detritus","Detritus",1,"IV",0.01,100,1,
"Upper","Spring","Marsh",1,"Clupeidae","Brevoortia patronus",161,"Detritus","Detritus",1,"IV",0.03,100,1,
"Upper","Spring","Marsh",1,"Clupeidae","Brevoortia patronus",161,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Spring","Marsh",1,"Clupeidae","Brevoortia patronus",163,"Detritus","Detritus",1,"IV",0.05,100,1,
"Upper","Spring","Marsh",2,"Clupeidae","Brevoortia patronus",147,"Detritus","Detritus",1,"IV",0.03,100,1,
"Upper","Spring","Marsh",2,"Clupeidae","Brevoortia patronus",150,"Detritus","Detritus",1,"IV",0.04,100,1,
"Upper","Spring","Marsh",2,"Clupeidae","Brevoortia patronus",151,"Detritus","Detritus",1,"IV",0.03,100,1,
"Upper","Spring","Marsh",2,"Clupeidae","Brevoortia patronus",172,"Detritus","Detritus",1,"IV",0.05,100,1,
"Upper","Spring","Non-Veg ",1,"Clupeidae","Brevoortia patronus",155,"Detritus","Detritus",1,"IV",0.01,100,1,
"Upper","Spring","Non-Veg ",1,"Clupeidae","Brevoortia patronus",162,"Detritus","Detritus",1,"IV",0.03,100,1,
"Upper","Spring","Non-Veg ",1,"Clupeidae","Brevoortia patronus",177,"Detritus","Detritus",1,"IV",0.06,100,1,
"Upper","Spring","Non-Veg ",1,"Clupeidae","Brevoortia patronus",199,"Detritus","Detritus",1,"IV",0.04,100,1,
"Upper","Spring","Non-Veg ",1,"Clupeidae","Brevoortia patronus",224,"Detritus","Detritus",1,"IV",0.05,100,1,
"Upper","Spring","Non-Veg ",2,"Clupeidae","Brevoortia patronus",155,"Detritus","Detritus",1,"IV",0.03,100,1,
"Upper","Spring","Non-Veg ",2,"Clupeidae","Brevoortia patronus",160,"Detritus","Detritus",1,"IV",0.04,100,1,
"Upper","Spring","Non-Veg ",2,"Clupeidae","Brevoortia patronus",166,"Detritus","Detritus",1,"IV",0.04,100,1,
"Upper","Spring","Non-Veg ",2,"Clupeidae","Brevoortia patronus",177,"Detritus","Detritus",1,"IV",0.04,100,1,
"Upper","Spring","Non-Veg ",2,"Clupeidae","Brevoortia patronus",179,"Detritus","Detritus",1,"IV",0.03,100,1,
"Upper","Spring","Reef",1,"Clupeidae","Brevoortia patronus",147,"Detritus","Detritus",1,"IV",0.002,100,1,
"Upper","Spring","Reef",1,"Clupeidae","Brevoortia patronus",150,"Detritus","Detritus",1,"IV",0.008,100,1,
"Upper","Spring","Reef",1,"Clupeidae","Brevoortia patronus",154,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Spring","Reef",1,"Clupeidae","Brevoortia patronus",355,"Detritus","Detritus",1,"IV",0.06,5,1,
"Upper","Spring","Reef",2,"Clupeidae","Brevoortia patronus",146,"Detritus","Detritus",1,"IV",0.03,100,1,
"Upper","Spring","Reef",2,"Clupeidae","Brevoortia patronus",149,"Detritus","Detritus",1,"IV",0.03,100,1,
"Upper","Spring","Reef",2,"Clupeidae","Brevoortia patronus",164,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Spring","Reef",2,"Clupeidae","Brevoortia patronus",170,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Spring","Reef",2,"Clupeidae","Brevoortia patronus",186,"Detritus","Detritus",1,"IV",0.03,100,1,
"Upper","Summer","Non-Veg ",1,"Clupeidae","Brevoortia patronus",159,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Summer","Non-Veg ",1,"Clupeidae","Brevoortia patronus",174,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Summer","Non-Veg ",1,"Clupeidae","Brevoortia patronus",197,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Summer","Non-Veg ",1,"Clupeidae","Brevoortia patronus",287,"Detritus","Detritus",1,"IV",0.002,100,1,
"Upper","Summer","Non-Veg ",1,"Clupeidae","Brevoortia patronus",321,"Detritus","Detritus",1,"IV",0.01,100,1,
"Upper","Summer","Non-Veg ",2,"Clupeidae","Brevoortia patronus",171,"Detritus","Detritus",1,"IV",0.01,100,1,
"Upper","Summer","Non-Veg ",2,"Clupeidae","Brevoortia patronus",173,"Detritus","Detritus",1,"IV",0.01,100,1,
"Upper","Summer","Non-Veg ",2,"Clupeidae","Brevoortia patronus",204,"Detritus","Detritus",1,"IV",0.04,100,1,
"Upper","Summer","Non-Veg ",2,"Clupeidae","Brevoortia patronus",216,"Detritus","Detritus",1,"IV",0.03,100,1,
"Upper","Summer","Non-Veg ",2,"Clupeidae","Brevoortia patronus",337,"Detritus","Detritus",1,"IV",0.05,100,1,
"Upper","Summer","Reef",1,"Clupeidae","Brevoortia patronus",157,"Detritus","Detritus",1,"IV",0.01,100,1,
"Upper","Summer","Reef",1,"Clupeidae","Brevoortia patronus",165,"Detritus","Detritus",1,"IV",0.008,100,1,
"Upper","Summer","Reef",1,"Clupeidae","Brevoortia patronus",168,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Summer","Reef",1,"Clupeidae","Brevoortia patronus",184,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Summer","Reef",1,"Clupeidae","Brevoortia patronus",185,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Summer","Reef",2,"Clupeidae","Brevoortia patronus",168,"Detritus","Detritus",1,"IV",0.05,100,1,
"Upper","Summer","Reef",2,"Clupeidae","Brevoortia patronus",181,"Detritus","Detritus",1,"IV",0.1,100,1,
"Upper","Summer","Reef",2,"Clupeidae","Brevoortia patronus",236,"Detritus","Detritus",1,"IV",0.2,100,1,
"Upper","Winter","Non-Veg ",1,"Clupeidae","Brevoortia patronus",146,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Winter","Non-Veg ",1,"Clupeidae","Brevoortia patronus",150,"Detritus","Detritus",1,"IV",0.01,100,1,
"Upper","Winter","Non-Veg ",1,"Clupeidae","Brevoortia patronus",169,"Detritus","Detritus",1,"IV",0.01,100,1,
"Upper","Winter","Non-Veg ",1,"Clupeidae","Brevoortia patronus",170,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Winter","Non-Veg ",1,"Clupeidae","Brevoortia patronus",171,"Detritus","Detritus",1,"IV",0.03,100,1,
"Upper","Winter","Reef",1,"Clupeidae","Brevoortia patronus",150,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Winter","Reef",2,"Clupeidae","Brevoortia patronus",157,"Detritus","Detritus",1,"IV",0.008,100,1,
"Upper","Winter","Reef",2,"Clupeidae","Brevoortia patronus",160,"Detritus","Detritus",1,"IV",0.01,100,1,
"Upper","Winter","Reef",2,"Clupeidae","Brevoortia patronus",166,"Detritus","Detritus",1,"IV",0.04,100,1,
"Lower","Summer","Marsh",1,"Mugilidae","Mugil cephalus",250,"Detritus","Detritus",1,"IV",0.5,100,1,
"Upper","Spring","Marsh",1,"Mugilidae","Mugil cephalus",213,"Detritus","Detritus",1,"IV",0.01,100,1,
"Upper","Spring","Marsh",1,"Mugilidae","Mugil cephalus",224,"Detritus","Detritus",1,"IV",0.08,100,1,
"Upper","Spring","Marsh",1,"Mugilidae","Mugil cephalus",264,"Detritus","Detritus",1,"IV",1,100,1,
"Lower","Fall","Non-Veg ",1,"Polynemidae","Polydactylus octonemus",170,"Detritus","Detritus",1,"IV",0.03,100,1,
"Lower","Fall","Non-Veg ",1,"Polynemidae","Polydactylus octonemus",181,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Fall","Non-Veg ",1,"Polynemidae","Polydactylus octonemus",184,"Detritus","Detritus",1,"IV",0.02,100,1,
"Lower","Fall","Non-Veg ",1,"Polynemidae","Polydactylus octonemus",186,"Detritus","Detritus",1,"IV",0.05,100,1,
"Lower","Fall","Non-Veg ",1,"Polynemidae","Polydactylus octonemus",191,"Detritus","Detritus",1,"IV",0.03,100,1,
"Lower","Fall","Reef",2,"Polynemidae","Polydactylus octonemus",176,"Detritus","Detritus",1,"IV",1,100,1,
"Lower","Winter","Non-Veg ",1,"Polynemidae","Polydactylus octonemus",187,"Detritus","Detritus",1,"IV",0.03,100,1,
"Upper","Fall","Non-Veg ",1,"Polynemidae","Polydactylus octonemus",174,"Detritus","Detritus",1,"IV",0.008,100,1,
"Upper","Fall","Non-Veg ",1,"Polynemidae","Polydactylus octonemus",181,"Detritus","Detritus",1,"IV",0.01,100,1,
"Upper","Fall","Non-Veg ",1,"Polynemidae","Polydactylus octonemus",193,"Detritus","Detritus",1,"IV",0.02,100,1,
"Upper","Fall","Reef",1,"Polynemidae","Polydactylus octonemus",187,"Detritus","Detritus",1,"IV",0.008,100,1,
"Upper","Fall","Marsh",1,"Sparidae","Archosargus probatocephalus",241,"Digestate","Digestate",1,"IV",0.2,100,1,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",176,"Digestate","Digestate",1,"IV",0.15,50,1,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",205,"Digestate","Digestate",1,"IV",0.05,70.4225352113,1,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",212,"Digestate","Digestate",1,"IV",0.1,45.4545454545,1,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",212,"Digestate","Digestate",1,"IV",0.5,37.5939849624,1,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",215,"Digestate","Digestate",1,"IV",0.08,100,1,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",224,"Digestate","Digestate",1,"IV",0.45,79.5053003534,1,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",227,"Digestate","Digestate",1,"IV",0.18,43.9024390244,1,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",227,"Digestate","Digestate",1,"IV",0.05,27.4725274725,1,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",237,"Digestate","Digestate",1,"IV",0.15,40.5405405405,1,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",285,"Digestate","Digestate",1,"IV",0.1,11.1111111111,1,
"Lower","Spring","Non-Veg ",2,"Ariidae","Arius felis",235,"Digestate","Digestate",1,"IV",0.1,12.4843945069,1,
"Lower","Spring","Non-Veg ",2,"Ariidae","Arius felis",326,"Digestate","Digestate",1,"IV",0.8,69.5652173913,1,
"Lower","Spring","Non-Veg ",2,"Ariidae","Arius felis",380,"Digestate","Digestate",1,"IV",0.3,15.3846153846,1,
"Lower","Spring","Reef",1,"Ariidae","Arius felis",229,"Digestate","Digestate",1,"IV",0.3,41.095890411,1,
"Lower","Spring","Reef",1,"Ariidae","Arius felis",239,"Digestate","Digestate",1,"IV",0.1,43.4782608696,1,
"Lower","Spring","Reef",1,"Ariidae","Arius felis",240,"Digestate","Digestate",1,"IV",0.1,58.8235294118,1,
"Lower","Spring","Reef",1,"Ariidae","Arius felis",240,"Digestate","Digestate",1,"IV",0.3,35.2941176471,1,
"Lower","Spring","Reef",2,"Ariidae","Arius felis",357,"Digestate","Digestate",1,"IV",0.3,88.2352941176,1,
"Lower","Spring","Reef",2,"Ariidae","Arius felis",402,"Digestate","Digestate",1,"IV",0.8,72.7272727273,1,
"Lower","Summer","Marsh",1,"Ariidae","Arius felis",295,"Digestate","Digestate",1,"IV",0.4,14.7601476015,1,
"Lower","Summer","Marsh",1,"Ariidae","Arius felis",352,"Digestate","Digestate",1,"IV",0.3,100,1,
"Upper","Fall","Marsh",1,"Ariidae","Arius felis",249,"Digestate","Digestate",1,"IV",1.3,61.669829222,1,
"Upper","Fall","Marsh",2,"Ariidae","Arius felis",210,"Digestate","Digestate",1,"IV",0.3,33.3333333333,1,
"Upper","Fall","Marsh",2,"Ariidae","Arius felis",260,"Digestate","Digestate",1,"IV",0.3,24.5901639344,1,
"Upper","Fall","Non-Veg ",1,"Ariidae","Arius felis",232,"Digestate","Digestate",1,"IV",0.008,10,1,
"Upper","Fall","Non-Veg ",2,"Ariidae","Arius felis",165,"Digestate","Digestate",1,"IV",0.05,32.2580645161,1,
"Upper","Fall","Non-Veg ",2,"Ariidae","Arius felis",267,"Digestate","Digestate",1,"IV",2.5,32.2372662798,1,
"Upper","Fall","Reef",1,"Ariidae","Arius felis",221,"Digestate","Digestate",1,"IV",0.04,50,1,
"Upper","Fall","Reef",2,"Ariidae","Arius felis",215,"Digestate","Digestate",1,"IV",0.1,35.5871886121,1,
"Upper","Fall","Reef",2,"Ariidae","Arius felis",224,"Digestate","Digestate",1,"IV",0.2,57.8034682081,1,
"Upper","Spring","Non-Veg ",1,"Ariidae","Arius felis",157,"Digestate","Digestate",1,"IV",0.1,83.3333333333,1,
"Upper","Spring","Non-Veg ",1,"Ariidae","Arius felis",189,"Digestate","Digestate",1,"IV",0.2,100,1,
"Upper","Spring","Non-Veg ",1,"Ariidae","Arius felis",217,"Digestate","Digestate",1,"IV",0.1,100,1,
"Upper","Spring","Non-Veg ",1,"Ariidae","Arius felis",237,"Digestate","Digestate",1,"IV",0.5,95.785440613,1,
"Upper","Spring","Non-Veg ",1,"Ariidae","Arius felis",268,"Digestate","Digestate",1,"IV",0.8,62.5,1,
"Upper","Spring","Non-Veg ",1,"Ariidae","Arius felis",275,"Digestate","Digestate",1,"IV",0.6,67.4157303371,1,
"Upper","Spring","Non-Veg ",2,"Ariidae","Arius felis",200,"Digestate","Digestate",1,"IV",0.2,100,1,
"Upper","Spring","Non-Veg ",2,"Ariidae","Arius felis",234,"Digestate","Digestate",1,"IV",0.2,98.5221674877,1,
"Upper","Spring","Reef",1,"Ariidae","Arius felis",213,"Digestate","Digestate",1,"IV",0.2,68.9655172414,1,
"Upper","Spring","Reef",1,"Ariidae","Arius felis",214,"Digestate","Digestate",1,"IV",0.2,17.094017094,1,
"Upper","Spring","Reef",1,"Ariidae","Arius felis",236,"Digestate","Digestate",1,"IV",0.6,68.8863375431,1,
"Upper","Spring","Reef",1,"Ariidae","Arius felis",238,"Digestate","Digestate",1,"IV",0.4,100,1,
"Upper","Spring","Reef",1,"Ariidae","Arius felis",282,"Digestate","Digestate",1,"IV",0.6,85.7142857143,1,
"Upper","Summer","Marsh",1,"Ariidae","Arius felis",167,"Digestate","Digestate",1,"IV",0.075,6.51607298,1,
"Upper","Summer","Marsh",1,"Ariidae","Arius felis",214,"Digestate","Digestate",1,"IV",0.2,15.3256704981,1,
"Upper","Summer","Marsh",1,"Ariidae","Arius felis",225,"Digestate","Digestate",1,"IV",1.2,35.2941176471,1,
"Upper","Summer","Marsh",1,"Ariidae","Arius felis",276,"Digestate","Digestate",1,"IV",2.2,32.7332242226,1,
"Upper","Summer","Marsh",1,"Ariidae","Arius felis",297,"Digestate","Digestate",1,"IV",1.2,66.2617338487,1,
"Upper","Summer","Marsh",2,"Ariidae","Arius felis",200,"Digestate","Digestate",1,"IV",0.4,23.5017626322,1,
"Upper","Summer","Marsh",2,"Ariidae","Arius felis",239,"Digestate","Digestate",1,"IV",0.5,62.1890547264,1,
"Upper","Summer","Marsh",2,"Ariidae","Arius felis",294,"Digestate","Digestate",1,"IV",2,68.4697021568,1,
"Upper","Summer","Marsh",2,"Ariidae","Arius felis",365,"Digestate","Digestate",1,"IV",3,18.4865664284,1,
"Upper","Summer","Non-Veg ",2,"Ariidae","Arius felis",231,"Digestate","Digestate",1,"IV",0.3,55.5555555556,1,
"Upper","Summer","Non-Veg ",2,"Ariidae","Arius felis",239,"Digestate","Digestate",1,"IV",0.2,80,1,
"Upper","Summer","Non-Veg ",2,"Ariidae","Arius felis",272,"Digestate","Digestate",1,"IV",0.5,71.4285714286,1,
"Upper","Summer","Non-Veg ",2,"Ariidae","Arius felis",274,"Digestate","Digestate",1,"IV",0.2,40,1,
"Upper","Summer","Non-Veg ",2,"Ariidae","Arius felis",392,"Digestate","Digestate",1,"IV",0.8,34.7826086957,1,
"Upper","Summer","Reef",1,"Ariidae","Arius felis",152,"Digestate","Digestate",1,"IV",0.02,100,1,
"Upper","Summer","Reef",1,"Ariidae","Arius felis",203,"Digestate","Digestate",1,"IV",0.3,19.3548387097,1,
"Upper","Summer","Reef",1,"Ariidae","Arius felis",222,"Digestate","Digestate",1,"IV",0.01,0.462962963,1,
"Upper","Summer","Reef",1,"Ariidae","Arius felis",278,"Digestate","Digestate",1,"IV",0.15,4.0983606557,1,
"Upper","Summer","Reef",1,"Ariidae","Arius felis",320,"Digestate","Digestate",1,"IV",0.15,100,1,
"Upper","Summer","Reef",2,"Ariidae","Arius felis",214,"Digestate","Digestate",1,"IV",1,46.511627907,1,
"Upper","Summer","Reef",2,"Ariidae","Arius felis",216,"Digestate","Digestate",1,"IV",0.015,4.1095890411,1,
"Upper","Summer","Reef",2,"Ariidae","Arius felis",220,"Digestate","Digestate",1,"IV",0.4,55.5555555556,1,
"Upper","Summer","Reef",2,"Ariidae","Arius felis",233,"Digestate","Digestate",1,"IV",0.2,12.9032258065,1,
"Upper","Summer","Reef",2,"Ariidae","Arius felis",238,"Digestate","Digestate",1,"IV",0.9,78.2608695652,1,
"Lower","Fall","Non-Veg ",1,"Ariidae","Bagre marinus",415,"Digestate","Digestate",1,"IV",1.2,14.5772594752,1,
"Lower","Fall","Reef",1,"Ariidae","Bagre marinus",496,"Digestate","Digestate",1,"IV",5,82.7814569536,1,
"Lower","Fall","Reef",1,"Ariidae","Bagre marinus",510,"Digestate","Digestate",1,"IV",0.2,15.3846153846,1,
"Lower","Fall","Reef",1,"Ariidae","Bagre marinus",546,"Digestate","Digestate",1,"IV",1.2,22.7272727273,1,
"Lower","Fall","Reef",2,"Ariidae","Bagre marinus",445,"Digestate","Digestate",1,"IV",0.7,1.247771836,1,
"Lower","Fall","Reef",2,"Ariidae","Bagre marinus",540,"Digestate","Digestate",1,"IV",4,6.338641946,1,
"Lower","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",290,"Digestate","Digestate",1,"IV",0.15,9.0909090909,1,
"Lower","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",295,"Digestate","Digestate",1,"IV",0.8,64.5161290323,1,
"Lower","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",297,"Digestate","Digestate",1,"IV",2.4,45.4545454545,1,
"Lower","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",404,"Digestate","Digestate",1,"IV",0.1,99.0099009901,1,
"Lower","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",524,"Digestate","Digestate",1,"IV",6,59.880239521,1,
"Lower","Spring","Reef",1,"Ariidae","Bagre marinus",259,"Digestate","Digestate",1,"IV",1.7,72.3404255319,1,
"Lower","Spring","Reef",1,"Ariidae","Bagre marinus",400,"Digestate","Digestate",1,"IV",0.08,28.5714285714,1,
"Lower","Spring","Reef",1,"Ariidae","Bagre marinus",410,"Digestate","Digestate",1,"IV",3.3,75,1,
"Lower","Spring","Reef",1,"Ariidae","Bagre marinus",443,"Digestate","Digestate",1,"IV",0.9,88.2352941176,1,
"Lower","Spring","Reef",1,"Ariidae","Bagre marinus",531,"Digestate","Digestate",1,"IV",0.65,67.7083333333,1,
"Lower","Spring","Reef",2,"Ariidae","Bagre marinus",280,"Digestate","Digestate",1,"IV",0.5,62.5,1,
"Lower","Spring","Reef",2,"Ariidae","Bagre marinus",381,"Digestate","Digestate",1,"IV",1.8,85.7142857143,1,
"Lower","Spring","Reef",2,"Ariidae","Bagre marinus",440,"Digestate","Digestate",1,"IV",1.8,77.2532188841,1,
"Lower","Spring","Reef",2,"Ariidae","Bagre marinus",466,"Digestate","Digestate",1,"IV",1.4,25,1,
"Lower","Spring","Reef",2,"Ariidae","Bagre marinus",533,"Digestate","Digestate",1,"IV",1.7,47.2222222222,1,
"Lower","Summer","Non-Veg ",1,"Ariidae","Bagre marinus",213,"Digestate","Digestate",1,"IV",2,99.2063492063,1,
"Lower","Summer","Non-Veg ",1,"Ariidae","Bagre marinus",218,"Digestate","Digestate",1,"IV",2,33.2225913621,1,
"Lower","Summer","Non-Veg ",1,"Ariidae","Bagre marinus",224,"Digestate","Digestate",1,"IV",6,98.1836033382,1,
"Lower","Summer","Non-Veg ",2,"Ariidae","Bagre marinus",207,"Digestate","Digestate",1,"IV",0.01,50,1,
"Lower","Summer","Non-Veg ",2,"Ariidae","Bagre marinus",243,"Digestate","Digestate",1,"IV",1.2,87.5273522976,1,
"Lower","Summer","Non-Veg ",2,"Ariidae","Bagre marinus",387,"Digestate","Digestate",1,"IV",1,100,1,
"Lower","Summer","Non-Veg ",2,"Ariidae","Bagre marinus",461,"Digestate","Digestate",1,"IV",1.4,100,1,
"Lower","Summer","Reef",1,"Ariidae","Bagre marinus",238,"Digestate","Digestate",1,"IV",0.1,7.0871722183,1,
"Lower","Summer","Reef",1,"Ariidae","Bagre marinus",446,"Digestate","Digestate",1,"IV",1.3,100,1,
"Lower","Summer","Reef",1,"Ariidae","Bagre marinus",500,"Digestate","Digestate",1,"IV",1,100,1,
"Lower","Summer","Reef",2,"Ariidae","Bagre marinus",234,"Digestate","Digestate",1,"IV",0.3,100,1,
"Lower","Summer","Reef",2,"Ariidae","Bagre marinus",460,"Digestate","Digestate",1,"IV",5,95.2380952381,1,
"Lower","Summer","Reef",2,"Ariidae","Bagre marinus",480,"Digestate","Digestate",1,"IV",5,40,1,
"Lower","Summer","Reef",2,"Ariidae","Bagre marinus",570,"Digestate","Digestate",1,"IV",16,86.2533692722,1,
"Lower","Summer","Reef",2,"Ariidae","Bagre marinus",600,"Digestate","Digestate",1,"IV",8,60.1503759398,1,
"Upper","Fall","Non-Veg ",1,"Ariidae","Bagre marinus",509,"Digestate","Digestate",1,"IV",0.1,1.9230769231,1,
"Upper","Fall","Reef",1,"Ariidae","Bagre marinus",506,"Digestate","Digestate",1,"IV",5,81.9672131148,1,
"Upper","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",405,"Digestate","Digestate",1,"IV",0.1,33.3333333333,1,
"Upper","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",459,"Digestate","Digestate",1,"IV",2,53.4759358289,1,
"Upper","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",485,"Digestate","Digestate",1,"IV",4.5,8.2568807339,1,
"Upper","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",533,"Digestate","Digestate",1,"IV",1.3,83.8709677419,1,
"Upper","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",545,"Digestate","Digestate",1,"IV",8,65.306122449,1,
"Upper","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",591,"Digestate","Digestate",1,"IV",6.5,18.6674325101,1,
"Upper","Spring","Non-Veg ",2,"Ariidae","Bagre marinus",445,"Digestate","Digestate",1,"IV",0.4,33.3333333333,1,
"Upper","Spring","Non-Veg ",2,"Ariidae","Bagre marinus",451,"Digestate","Digestate",1,"IV",3.5,97.7653631285,1,
"Upper","Spring","Non-Veg ",2,"Ariidae","Bagre marinus",460,"Digestate","Digestate",1,"IV",0.6,45.1127819549,1,
"Upper","Spring","Non-Veg ",2,"Ariidae","Bagre marinus",590,"Digestate","Digestate",1,"IV",0.8,5.9701492537,1,
"Upper","Spring","Reef",1,"Ariidae","Bagre marinus",427,"Digestate","Digestate",1,"IV",0.6,7.8947368421,1,
"Upper","Spring","Reef",1,"Ariidae","Bagre marinus",442,"Digestate","Digestate",1,"IV",1.2,75,1,
"Upper","Spring","Reef",1,"Ariidae","Bagre marinus",523,"Digestate","Digestate",1,"IV",2.5,23.5404896422,1,
"Upper","Spring","Reef",1,"Ariidae","Bagre marinus",564,"Digestate","Digestate",1,"IV",4.5,87.3786407767,1,
"Upper","Spring","Reef",2,"Ariidae","Bagre marinus",457,"Digestate","Digestate",1,"IV",2,14.3884892086,1,
"Upper","Spring","Reef",2,"Ariidae","Bagre marinus",515,"Digestate","Digestate",1,"IV",0.2,4.9751243781,1,
"Upper","Spring","Reef",2,"Ariidae","Bagre marinus",574,"Digestate","Digestate",1,"IV",0.6,55.5555555556,1,
"Upper","Summer","Non-Veg ",1,"Ariidae","Bagre marinus",265,"Digestate","Digestate",1,"IV",1,100,1,
"Upper","Summer","Non-Veg ",1,"Ariidae","Bagre marinus",394,"Digestate","Digestate",1,"IV",0.8,44.4444444444,1,
"Upper","Summer","Non-Veg ",1,"Ariidae","Bagre marinus",480,"Digestate","Digestate",1,"IV",1.6,100,1,
"Upper","Summer","Non-Veg ",1,"Ariidae","Bagre marinus",497,"Digestate","Digestate",1,"IV",3,25.8620689655,1,
"Upper","Summer","Non-Veg ",1,"Ariidae","Bagre marinus",609,"Digestate","Digestate",1,"IV",4,98.1595092025,1,
"Upper","Summer","Non-Veg ",2,"Ariidae","Bagre marinus",235,"Digestate","Digestate",1,"IV",0.3,56.6037735849,1,
"Upper","Summer","Non-Veg ",2,"Ariidae","Bagre marinus",252,"Digestate","Digestate",1,"IV",0.5,71.3266761769,1,
"Upper","Summer","Non-Veg ",2,"Ariidae","Bagre marinus",539,"Digestate","Digestate",1,"IV",4.9,66.0377358491,1,
"Upper","Summer","Non-Veg ",2,"Ariidae","Bagre marinus",609,"Digestate","Digestate",1,"IV",1.6,15.5793573515,1,
"Upper","Summer","Reef",1,"Ariidae","Bagre marinus",221,"Digestate","Digestate",1,"IV",0.07,9.0909090909,1,
"Upper","Summer","Reef",1,"Ariidae","Bagre marinus",231,"Digestate","Digestate",1,"IV",0.05,46.2962962963,1,
"Upper","Summer","Reef",1,"Ariidae","Bagre marinus",502,"Digestate","Digestate",1,"IV",7,96.8054211036,1,
"Upper","Summer","Reef",1,"Ariidae","Bagre marinus",552,"Digestate","Digestate",1,"IV",8,32,1,
